date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:28:05	24316/24316	---M-Z	200	added ('OK')	image/svg+xml	date:Sat,%2017%20Feb%202024%2013:54:18%20GMT	https://creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/assets/img/icons/phone-call.svg	C:/zz/yassmin/creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/assets/img/icons/phone-call.svg	(from https://creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/contact.html)
11:28:06	22428/22428	---M-Z	200	added ('OK')	image/svg+xml	date:Sat,%2017%20Feb%202024%2013:54:30%20GMT	https://creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/assets/img/icons/mail-open.svg	C:/zz/yassmin/creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/assets/img/icons/mail-open.svg	(from https://creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/contact.html)
11:28:06	24044/24044	---M-Z	200	added ('OK')	image/svg+xml	date:Sat,%2017%20Feb%202024%2013:54:42%20GMT	https://creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/assets/img/icons/location-dot.svg	C:/zz/yassmin/creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/assets/img/icons/location-dot.svg	(from https://creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/contact.html)
11:28:06	13118/13118	---M-Z	200	added ('OK')	image/svg+xml	date:Sat,%2017%20Feb%202024%2013:27:16%20GMT	https://creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/assets/img/icons/star.svg	C:/zz/yassmin/creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/assets/img/icons/star.svg	(from https://creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/about.html)
11:28:06	2404/2404	---M--	200	added ('OK')	image/png	date:Sat,%2027%20Jan%202024%2021:49:16%20GMT	https://creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/assets/img/client/1.png	C:/zz/yassmin/creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/assets/img/client/1.png	(from https://creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/about.html)
11:28:07	2071/2071	---M--	200	added ('OK')	image/png	date:Sat,%2027%20Jan%202024%2021:49:30%20GMT	https://creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/assets/img/client/02.png	C:/zz/yassmin/creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/assets/img/client/02.png	(from https://creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/about.html)
11:28:07	427/427	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2029%20Jan%202024%2002:25:56%20GMT	https://creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/assets/img/icons/service-1.svg	C:/zz/yassmin/creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/assets/img/icons/service-1.svg	(from https://creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/service.html)
11:28:07	574/574	---M-Z	200	added ('OK')	image/svg+xml	date:Tue,%2030%20Jan%202024%2001:30:32%20GMT	https://creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/assets/img/icons/service-2.svg	C:/zz/yassmin/creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/assets/img/icons/service-2.svg	(from https://creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/service.html)
11:28:08	686/686	---M-Z	200	added ('OK')	image/svg+xml	date:Tue,%2030%20Jan%202024%2001:30:44%20GMT	https://creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/assets/img/icons/service-3.svg	C:/zz/yassmin/creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/assets/img/icons/service-3.svg	(from https://creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/service.html)
11:28:08	289/289	---M-Z	200	added ('OK')	image/svg+xml	date:Tue,%2030%20Jan%202024%2001:31:04%20GMT	https://creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/assets/img/icons/service-4.svg	C:/zz/yassmin/creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/assets/img/icons/service-4.svg	(from https://creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/service.html)
